# GSpot Codec Database for GSpot v2.7
# rev 2.7   Feb 18, 2007
#
[video codecs]
DVOR	BlueFish444 (lossless RGBA, YUV 10-bit)	-	-
DVPN	Apple QT DV (NTSC)	Apple	http://www.apple.com
DVPP	Apple QT DV (PAL)	Apple	http://www.apple.com
DVR1	TARGA2000 Codec	-	-
DVRS	VSYNC DualMoon Iris DV codec	-	-
DVSD	DVC/DV Video	IEC 61834 and SMPTE 314M	-
DVSL	DV compressed in SD (SDL)	IEC Standard	-
DVX1	DVX1000SP Video Decoder	Lucent	-
DVX2	DVX2000S Video Decoder	Lucent	-
DVX3	DVX3000S Video Decoder	Lucent	-
DX50	DivX 5.x/6.x	divx.com	-
DXGM	Electronic Arts Game Video codec	-	-
DXRE	DivX Subtitle Codec	DivX	http://www.divx.com/
DXSB	DivX Subtitle Codec	DivX	http://www.divx.com/
DXT0	Reserved.	Microsoft	http://www.microsoft.com
DXT1	DirectX Texture Compression Format 1	Microsoft 	http://www.microsoft.com
DXT2	DirectX Texture Compression Format 2	Microsoft 	http://www.microsoft.com
DXT3	DirectX Texture Compression Format 3	Microsoft 	http://www.microsoft.com
DXT4	DirectX Texture Compression Format 4	Microsoft 	http://www.microsoft.com
DXT5	DirectX Texture Compression Format 5	Microsoft 	http://www.microsoft.com
DXT6	Reserved.	Microsoft	http://www.microsoft.com
DXT7	Reserved.	Microsoft	http://www.microsoft.com
DXT8	Reserved.	Microsoft	http://www.microsoft.com
DXT9	Reserved.	Microsoft	http://www.microsoft.com
DXTA	Reserved.	Microsoft	http://www.microsoft.com
DXTB	Reserved.	Microsoft	http://www.microsoft.com
DXTC	DirectX Texture Compression	Microsoft	http://www.microsoft.com
DXTD	Reserved.	Microsoft	http://www.microsoft.com
DXTE	Reserved.	Microsoft	http://www.microsoft.com
DXTF	Reserved.	Microsoft	http://www.microsoft.com
DXTG	Reserved.	Microsoft	http://www.microsoft.com
DXTH	Reserved.	Microsoft	http://www.microsoft.com
DXTI	Reserved.	Microsoft	http://www.microsoft.com
DXTJ	Reserved.	Microsoft	http://www.microsoft.com
DXTK	Reserved.	Microsoft	http://www.microsoft.com
DXTL	Reserved.	Microsoft	http://www.microsoft.com
DXTM	Reserved.	Microsoft	http://www.microsoft.com
DXTN	DirectX Compressed Texture	Microsoft	http://www.microsoft.com
DXTO	Reserved.	Microsoft	http://www.microsoft.com
DXTP	Reserved.	Microsoft	http://www.microsoft.com
DXTQ	Reserved.	Microsoft	http://www.microsoft.com
DXTR	Reserved.	Microsoft	http://www.microsoft.com
DXTS	Reserved.	Microsoft	http://www.microsoft.com
DXTT	Reserved.	Microsoft	http://www.microsoft.com
DXTU	Reserved.	Microsoft	http://www.microsoft.com
DXTV	Reserved.	Microsoft	http://www.microsoft.com
DXTW	Reserved.	Microsoft	http://www.microsoft.com
DXTX	Reserved.	Microsoft	http://www.microsoft.com
DXTY	Reserved.	Microsoft	http://www.microsoft.com
DXTZ	Reserved.	Microsoft	http://www.microsoft.com
EKQ0	related to Elsa Graphics cards	http://www.elsa.com/	-
ELK0	related to Elsa Graphics cards	http://www.elsa.com/	-
